data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00182	0.47436	0.65625	0.67188	0.875	0.7973	0.29688	0.71875	0.47436	0.55224	0.43678	1.0	0.4625	0.47826	0.32484	0.57778	0.20312	0.44048	0.50725	0.26562	0.69014	0.29688	0.44048	0.625	0.20312	0.8125	0.1875	0.21875	0.58667	0.21875	0.15625	0.09375	0.52475	0.1875	0.20312	0.44706	0.98462	0.56627	0.98462	0.82667	0.1875	0.16216	0.21875	0.42391	0.1875	0.42857	0.66667	0.45679	0.5	0.15068	0.59302	0.17188	0.86154	0.67143	0.29688	
D00187	0.5125	0.475	0.4	0.4625	0.45	0.3625	0.375	0.7125	0.475	0.42529	0.4625	1.0	0.8625	0.32484	0.44444	0.1875	0.91667	0.3625	0.3125	0.5	0.375	0.44048	0.4875	0.175	0.4	0.2625	0.225	0.375	0.2125	0.25	0.1625	0.37624	0.1375	0.2375	0.69412	0.475	0.43373	0.475	0.4	0.2125	0.2	0.2125	0.44565	0.2125	0.38462	0.45	0.49383	0.5	0.175	0.40698	0.2125	0.5	0.35	0.25	
D00188	0.62821	0.46377	0.4058	0.47826	0.48649	0.36232	0.37681	0.75641	0.47826	0.43678	0.47826	0.8625	1.0	0.28662	0.43333	0.18841	0.78571	0.36232	0.30435	0.50704	0.37681	0.42857	0.47826	0.17391	0.4058	0.26087	0.23188	0.34667	0.21739	0.23188	0.14493	0.36634	0.15942	0.21739	0.68235	0.47826	0.45783	0.47826	0.45333	0.18841	0.2027	0.21739	0.3913	0.21739	0.3956	0.46377	0.51852	0.49	0.13699	0.45349	0.14493	0.46377	0.32857	0.28986	
D00211	0.33758	0.28662	0.23567	0.30573	0.33758	0.24841	0.26115	0.35669	0.31847	0.3949	0.32484	0.32484	0.28662	1.0	0.40127	0.14013	0.32484	0.25478	0.24841	0.33758	0.24841	0.38217	0.30573	0.15287	0.27389	0.20382	0.16561	0.28662	0.19108	0.2293	0.17834	0.42038	0.12102	0.17197	0.38854	0.32484	0.3758	0.32484	0.36943	0.19745	0.26115	0.21656	0.40764	0.17834	0.33121	0.29936	0.33758	0.36306	0.21656	0.36943	0.18471	0.3121	0.31847	0.13376	
D00246	0.47778	0.55556	0.38889	0.54444	0.64444	0.3	0.41111	0.41111	0.5	0.47778	0.57778	0.44444	0.43333	0.40127	1.0	0.18889	0.4	0.36667	0.28889	0.56667	0.3	0.47778	0.46667	0.17778	0.46667	0.21111	0.17778	0.53333	0.21111	0.21111	0.16667	0.69307	0.14444	0.17778	0.37778	0.58889	0.5	0.58889	0.51111	0.22222	0.2	0.22222	0.42391	0.21111	0.35165	0.54444	0.45556	0.47	0.18889	0.68889	0.17778	0.51111	0.43333	0.23333	
D00279	0.17949	0.2381	0.24	0.2	0.2027	0.25532	0.22222	0.20513	0.20896	0.18391	0.20312	0.1875	0.18841	0.14013	0.18889	1.0	0.19048	0.2029	0.48077	0.23944	0.25532	0.22619	0.2381	0.53333	0.2069	0.6087	0.51429	0.25333	0.30233	0.36842	0.29032	0.21782	0.60714	0.46154	0.21176	0.2	0.22892	0.2	0.22667	0.40351	0.36486	0.33333	0.20652	0.5122	0.23077	0.22727	0.17284	0.19	0.30137	0.22093	0.33333	0.2	0.22857	0.28571	
D00299	0.54762	0.5	0.36905	0.4881	0.42857	0.35714	0.42857	0.71429	0.5	0.43678	0.44048	0.91667	0.78571	0.32484	0.4	0.19048	1.0	0.33333	0.32143	0.52381	0.35714	0.46429	0.5119	0.17857	0.38095	0.2619	0.21429	0.35714	0.20238	0.25	0.16667	0.36634	0.13095	0.22619	0.71765	0.45238	0.41667	0.45238	0.41667	0.20238	0.21429	0.20238	0.48913	0.20238	0.37363	0.4881	0.46429	0.51	0.16667	0.39535	0.20238	0.47619	0.41667	0.22619	
D00312	0.38462	0.43478	0.72464	0.55072	0.44595	0.23188	0.63768	0.32051	0.4058	0.4023	0.50725	0.3625	0.36232	0.25478	0.36667	0.2029	0.33333	1.0	0.18841	0.42254	0.23188	0.29762	0.42029	0.2029	0.5942	0.27536	0.26087	0.32	0.23188	0.24638	0.14493	0.31683	0.2029	0.24638	0.31765	0.50725	0.40964	0.50725	0.41333	0.18841	0.18919	0.24638	0.29348	0.2029	0.30769	0.42029	0.45679	0.38	0.13699	0.40698	0.23188	0.42029	0.64286	0.18841	
D00316	0.25641	0.33333	0.21154	0.23333	0.28378	0.38462	0.16667	0.34615	0.29851	0.26437	0.26562	0.3125	0.30435	0.24841	0.28889	0.48077	0.32143	0.18841	1.0	0.32394	0.38462	0.27381	0.30159	0.36538	0.18966	0.40385	0.42308	0.34667	0.23077	0.38596	0.24194	0.26733	0.34615	0.42308	0.30588	0.29231	0.26506	0.29231	0.25333	0.31579	0.35135	0.19231	0.28261	0.40385	0.24176	0.33333	0.25926	0.31	0.32877	0.34884	0.22807	0.27692	0.22857	0.32692	
D00327	0.52564	0.70423	0.49296	0.69014	0.62162	0.29577	0.53521	0.51282	0.59155	0.55172	0.69014	0.5	0.50704	0.33758	0.56667	0.23944	0.52381	0.42254	0.32394	1.0	0.29577	0.46429	0.74648	0.21127	0.56338	0.21127	0.19718	0.6	0.23944	0.21127	0.14085	0.60396	0.16901	0.19718	0.48235	0.67606	0.53012	0.67606	0.64	0.21127	0.18919	0.26761	0.44565	0.22535	0.40659	0.67606	0.45679	0.67	0.17808	0.69767	0.15493	0.57746	0.5493	0.26761	
D00348	0.29487	0.28571	0.22	0.3	0.33784	0.97872	0.22222	0.35897	0.26866	0.25287	0.29688	0.375	0.37681	0.24841	0.3	0.25532	0.35714	0.23188	0.38462	0.29577	1.0	0.30952	0.26984	0.25532	0.25862	0.25532	0.25532	0.29333	0.23404	0.2807	0.17742	0.28713	0.21277	0.29787	0.38824	0.29231	0.3012	0.29231	0.26667	0.24561	0.28378	0.2549	0.29348	0.2766	0.28571	0.27273	0.28395	0.29	0.20548	0.30233	0.19298	0.30769	0.27143	0.44681	
D00443	0.4881	0.4881	0.34524	0.41667	0.42857	0.30952	0.35714	0.40476	0.5119	0.42529	0.44048	0.44048	0.42857	0.38217	0.47778	0.22619	0.46429	0.29762	0.27381	0.46429	0.30952	1.0	0.46429	0.20238	0.39286	0.25	0.17857	0.34524	0.22619	0.2619	0.14286	0.50495	0.14286	0.17857	0.38824	0.44048	0.46429	0.44048	0.44048	0.25	0.25	0.22619	0.82609	0.22619	0.31868	0.4881	0.58333	0.44	0.21429	0.44186	0.19048	0.47619	0.30952	0.22619	
D00462	0.65385	0.7619	0.53968	0.69841	0.58108	0.26984	0.57143	0.48718	0.71642	0.67816	0.625	0.4875	0.47826	0.30573	0.46667	0.2381	0.5119	0.42029	0.30159	0.74648	0.26984	0.46429	1.0	0.20635	0.52381	0.22222	0.1746	0.57333	0.20635	0.19048	0.09524	0.43564	0.19048	0.1746	0.47059	0.61538	0.51807	0.61538	0.53333	0.22222	0.17568	0.2381	0.45652	0.20635	0.3956	0.72727	0.50617	0.5	0.16438	0.5814	0.19048	0.50769	0.54286	0.25397	
D00506	0.15385	0.20635	0.22	0.21667	0.18919	0.25532	0.2037	0.20513	0.1791	0.17241	0.20312	0.175	0.17391	0.15287	0.17778	0.53333	0.17857	0.2029	0.36538	0.21127	0.25532	0.20238	0.20635	1.0	0.18966	0.5	0.45714	0.30667	0.25581	0.4386	0.35484	0.21782	0.5	0.4359	0.18824	0.21538	0.20482	0.21538	0.32	0.38596	0.33784	0.43137	0.19565	0.34146	0.24176	0.21212	0.17284	0.16	0.28767	0.19767	0.31579	0.21538	0.24286	0.26667	
D00554	0.41026	0.50794	0.84483	0.7	0.66216	0.25862	0.89655	0.44872	0.47761	0.4023	0.8125	0.4	0.4058	0.27389	0.46667	0.2069	0.38095	0.5942	0.18966	0.56338	0.25862	0.39286	0.52381	0.18966	1.0	0.24138	0.31034	0.49333	0.24138	0.15517	0.17742	0.41584	0.22414	0.31034	0.41176	0.8	0.46988	0.8	0.66667	0.17241	0.18919	0.24138	0.3913	0.22414	0.37363	0.51515	0.41975	0.41	0.20548	0.48837	0.2069	0.75385	0.68571	0.25862	
D00565	0.23077	0.2381	0.2	0.18333	0.2027	0.25532	0.24074	0.24359	0.20896	0.2069	0.1875	0.2625	0.26087	0.20382	0.21111	0.6087	0.2619	0.27536	0.40385	0.21127	0.25532	0.25	0.22222	0.5	0.24138	1.0	0.58696	0.26667	0.41304	0.45614	0.40323	0.29703	0.43478	0.56522	0.27059	0.18462	0.24096	0.18462	0.30667	0.57895	0.52703	0.5098	0.22826	0.45652	0.26374	0.24242	0.23457	0.27	0.41096	0.23256	0.42105	0.21538	0.24286	0.23913	
D00577	0.16667	0.1746	0.28	0.18333	0.2027	0.25532	0.27778	0.20513	0.16418	0.17241	0.21875	0.225	0.23188	0.16561	0.17778	0.51429	0.21429	0.26087	0.42308	0.19718	0.25532	0.17857	0.1746	0.45714	0.31034	0.58696	1.0	0.25333	0.32558	0.42105	0.37097	0.22772	0.48571	0.82051	0.21176	0.21538	0.19277	0.21538	0.24	0.47368	0.36486	0.33333	0.16304	0.46341	0.23077	0.16667	0.16049	0.19	0.34247	0.19767	0.45614	0.21538	0.25714	0.28571	
D00585	0.41026	0.58667	0.42667	0.52	0.53333	0.29333	0.42667	0.32051	0.48	0.43678	0.58667	0.375	0.34667	0.28662	0.53333	0.25333	0.35714	0.32	0.34667	0.6	0.29333	0.34524	0.57333	0.30667	0.49333	0.26667	0.25333	1.0	0.2	0.28	0.2	0.51485	0.22667	0.24	0.35294	0.6	0.44578	0.6	0.56	0.22667	0.26667	0.2	0.3913	0.22667	0.38462	0.54667	0.39506	0.46	0.21333	0.59302	0.21333	0.50667	0.38667	0.24	
D00586	0.20513	0.20635	0.24	0.21667	0.24324	0.23404	0.24074	0.24359	0.19403	0.22989	0.21875	0.2125	0.21739	0.19108	0.21111	0.30233	0.20238	0.23188	0.23077	0.23944	0.23404	0.22619	0.20635	0.25581	0.24138	0.41304	0.32558	0.2	1.0	0.29825	0.30645	0.21782	0.34884	0.30233	0.22353	0.21538	0.22892	0.21538	0.2	0.42105	0.31081	0.84314	0.20652	0.39535	0.21978	0.19697	0.18519	0.24	0.30137	0.22093	0.2807	0.23077	0.25714	0.23256	
D00596	0.20513	0.2381	0.21053	0.15	0.2027	0.2807	0.19298	0.23077	0.20896	0.2069	0.15625	0.25	0.23188	0.2293	0.21111	0.36842	0.25	0.24638	0.38596	0.21127	0.2807	0.2619	0.19048	0.4386	0.15517	0.45614	0.42105	0.28	0.29825	1.0	0.32258	0.25743	0.31579	0.42105	0.25882	0.15385	0.22892	0.15385	0.28	0.31579	0.56757	0.29825	0.27174	0.36842	0.28571	0.24242	0.2716	0.26	0.41096	0.23256	0.19298	0.15385	0.24286	0.26316	
D00627	0.15385	0.11111	0.19355	0.09677	0.13514	0.17742	0.19355	0.17949	0.10448	0.14943	0.09375	0.1625	0.14493	0.17834	0.16667	0.29032	0.16667	0.14493	0.24194	0.14085	0.17742	0.14286	0.09524	0.35484	0.17742	0.40323	0.37097	0.2	0.30645	0.32258	1.0	0.18812	0.27419	0.37097	0.15294	0.10769	0.14458	0.10769	0.18667	0.27419	0.31081	0.30645	0.15217	0.37097	0.1978	0.12121	0.17284	0.17	0.34247	0.15116	0.33871	0.13846	0.17143	0.17742	
D00690	0.43564	0.48515	0.34653	0.48515	0.51485	0.28713	0.36634	0.38614	0.43564	0.43564	0.52475	0.37624	0.36634	0.42038	0.69307	0.21782	0.36634	0.31683	0.26733	0.60396	0.28713	0.50495	0.43564	0.21782	0.41584	0.29703	0.22772	0.51485	0.21782	0.25743	0.18812	1.0	0.16832	0.21782	0.41584	0.51485	0.56436	0.51485	0.55446	0.22772	0.26733	0.22772	0.49505	0.20792	0.38614	0.48515	0.42574	0.37624	0.22772	0.62376	0.19802	0.43564	0.39604	0.20792	
D00730	0.15385	0.19048	0.26	0.18333	0.17568	0.21277	0.24074	0.15385	0.16418	0.13793	0.1875	0.1375	0.15942	0.12102	0.14444	0.60714	0.13095	0.2029	0.34615	0.16901	0.21277	0.14286	0.19048	0.5	0.22414	0.43478	0.48571	0.22667	0.34884	0.31579	0.27419	0.16832	1.0	0.46154	0.14118	0.18462	0.15663	0.18462	0.2	0.35088	0.27027	0.31373	0.13043	0.39024	0.1978	0.18182	0.1358	0.13	0.26027	0.13953	0.31579	0.16923	0.21429	0.28571	
D00898	0.15385	0.1746	0.28	0.16667	0.18919	0.29787	0.27778	0.20513	0.16418	0.17241	0.20312	0.2375	0.21739	0.17197	0.17778	0.46154	0.22619	0.24638	0.42308	0.19718	0.29787	0.17857	0.1746	0.4359	0.31034	0.56522	0.82051	0.24	0.30233	0.42105	0.37097	0.21782	0.46154	1.0	0.22353	0.2	0.19277	0.2	0.24	0.4386	0.36486	0.31373	0.17391	0.39024	0.23077	0.16667	0.16049	0.18	0.32877	0.19767	0.42105	0.2	0.24286	0.25641	
D00930	0.45882	0.44706	0.36471	0.45882	0.48235	0.37647	0.4	0.84706	0.44706	0.43678	0.44706	0.69412	0.68235	0.38854	0.37778	0.21176	0.71765	0.31765	0.30588	0.48235	0.38824	0.38824	0.47059	0.18824	0.41176	0.27059	0.21176	0.35294	0.22353	0.25882	0.15294	0.41584	0.14118	0.22353	1.0	0.43529	0.41176	0.43529	0.41176	0.21176	0.22353	0.23529	0.3913	0.21176	0.40659	0.43529	0.41176	0.48	0.15294	0.4186	0.2	0.44706	0.38824	0.23529	
D00950	0.48718	0.67692	0.66154	0.86154	0.78378	0.29231	0.70769	0.46154	0.56716	0.43678	0.98462	0.475	0.47826	0.32484	0.58889	0.2	0.45238	0.50725	0.29231	0.67606	0.29231	0.44048	0.61538	0.21538	0.8	0.18462	0.21538	0.6	0.21538	0.15385	0.10769	0.51485	0.18462	0.2	0.43529	1.0	0.55422	1.0	0.81333	0.18462	0.14865	0.21538	0.43478	0.18462	0.41758	0.68182	0.46914	0.51	0.15068	0.60465	0.16923	0.87692	0.65714	0.29231	
D00951	0.42169	0.49398	0.42169	0.51807	0.57831	0.3012	0.43373	0.43373	0.45783	0.43678	0.56627	0.43373	0.45783	0.3758	0.5	0.22892	0.41667	0.40964	0.26506	0.53012	0.3012	0.46429	0.51807	0.20482	0.46988	0.24096	0.19277	0.44578	0.22892	0.22892	0.14458	0.56436	0.15663	0.19277	0.41176	0.55422	1.0	0.55422	0.51807	0.20482	0.20482	0.24096	0.45652	0.21687	0.38462	0.50602	0.45783	0.38	0.20482	0.48837	0.24096	0.49398	0.46988	0.24096	
D00954	0.48718	0.67692	0.66154	0.86154	0.78378	0.29231	0.70769	0.46154	0.56716	0.43678	0.98462	0.475	0.47826	0.32484	0.58889	0.2	0.45238	0.50725	0.29231	0.67606	0.29231	0.44048	0.61538	0.21538	0.8	0.18462	0.21538	0.6	0.21538	0.15385	0.10769	0.51485	0.18462	0.2	0.43529	1.0	0.55422	1.0	0.81333	0.18462	0.14865	0.21538	0.43478	0.18462	0.41758	0.68182	0.46914	0.51	0.15068	0.60465	0.16923	0.87692	0.65714	0.29231	
D00956	0.38462	0.56	0.58667	0.77333	0.70667	0.26667	0.64	0.41026	0.45333	0.41379	0.82667	0.4	0.45333	0.36943	0.51111	0.22667	0.41667	0.41333	0.25333	0.64	0.26667	0.44048	0.53333	0.32	0.66667	0.30667	0.24	0.56	0.2	0.28	0.18667	0.55446	0.2	0.24	0.41176	0.81333	0.51807	0.81333	1.0	0.16	0.25333	0.2	0.42391	0.22667	0.50549	0.56	0.4321	0.45	0.13333	0.55814	0.18667	0.70667	0.57333	0.25333	
D00961	0.17949	0.22222	0.21053	0.18333	0.24324	0.24561	0.19298	0.23077	0.1791	0.1954	0.1875	0.2125	0.18841	0.19745	0.22222	0.40351	0.20238	0.18841	0.31579	0.21127	0.24561	0.25	0.22222	0.38596	0.17241	0.57895	0.47368	0.22667	0.42105	0.31579	0.27419	0.22772	0.35088	0.4386	0.21176	0.18462	0.20482	0.18462	0.16	1.0	0.39189	0.42105	0.22826	0.47368	0.20879	0.21212	0.17284	0.25	0.42466	0.23256	0.36842	0.18462	0.24286	0.14035	
D00962	0.15385	0.22973	0.2027	0.18919	0.13514	0.28378	0.2027	0.21795	0.21622	0.17241	0.16216	0.2	0.2027	0.26115	0.2	0.36486	0.21429	0.18919	0.35135	0.18919	0.28378	0.25	0.17568	0.33784	0.18919	0.52703	0.36486	0.26667	0.31081	0.56757	0.31081	0.26733	0.27027	0.36486	0.22353	0.14865	0.20482	0.14865	0.25333	0.39189	1.0	0.35135	0.25	0.33784	0.28571	0.21622	0.22222	0.26	0.33784	0.24419	0.27027	0.17568	0.16216	0.21622	
D00965	0.20513	0.20635	0.21569	0.21667	0.24324	0.2549	0.2037	0.24359	0.19403	0.21839	0.21875	0.2125	0.21739	0.21656	0.22222	0.33333	0.20238	0.24638	0.19231	0.26761	0.2549	0.22619	0.2381	0.43137	0.24138	0.5098	0.33333	0.2	0.84314	0.29825	0.30645	0.22772	0.31373	0.31373	0.23529	0.21538	0.24096	0.21538	0.2	0.42105	0.35135	1.0	0.21739	0.33333	0.26374	0.19697	0.18519	0.24	0.28767	0.23256	0.21053	0.21538	0.27143	0.21569	
D01115	0.46739	0.45652	0.3587	0.3913	0.43478	0.29348	0.36957	0.40217	0.47826	0.45652	0.42391	0.44565	0.3913	0.40764	0.42391	0.20652	0.48913	0.29348	0.28261	0.44565	0.29348	0.82609	0.45652	0.19565	0.3913	0.22826	0.16304	0.3913	0.20652	0.27174	0.15217	0.49505	0.13043	0.17391	0.3913	0.43478	0.45652	0.43478	0.42391	0.22826	0.25	0.21739	1.0	0.23913	0.29348	0.46739	0.52174	0.45	0.22826	0.44565	0.20652	0.48913	0.30435	0.20652	
D01132	0.20513	0.2381	0.22	0.2	0.2027	0.2766	0.2037	0.21795	0.22388	0.21839	0.1875	0.2125	0.21739	0.17834	0.21111	0.5122	0.20238	0.2029	0.40385	0.22535	0.2766	0.22619	0.20635	0.34146	0.22414	0.45652	0.46341	0.22667	0.39535	0.36842	0.37097	0.20792	0.39024	0.39024	0.21176	0.18462	0.21687	0.18462	0.22667	0.47368	0.33784	0.33333	0.23913	1.0	0.23077	0.22727	0.20988	0.24	0.32877	0.23256	0.42105	0.21538	0.22857	0.26829	
D01161	0.42857	0.38462	0.34066	0.40659	0.43956	0.28571	0.34066	0.40659	0.35165	0.38462	0.42857	0.38462	0.3956	0.33121	0.35165	0.23077	0.37363	0.30769	0.24176	0.40659	0.28571	0.31868	0.3956	0.24176	0.37363	0.26374	0.23077	0.38462	0.21978	0.28571	0.1978	0.38614	0.1978	0.23077	0.40659	0.41758	0.38462	0.41758	0.50549	0.20879	0.28571	0.26374	0.29348	0.23077	1.0	0.37363	0.42857	0.42	0.17582	0.31868	0.1978	0.3956	0.3956	0.21978	
D01217	0.69231	0.95455	0.5303	0.72727	0.64865	0.27273	0.56061	0.46154	0.83582	0.65517	0.66667	0.45	0.46377	0.29936	0.54444	0.22727	0.4881	0.42029	0.33333	0.67606	0.27273	0.4881	0.72727	0.21212	0.51515	0.24242	0.16667	0.54667	0.19697	0.24242	0.12121	0.48515	0.18182	0.16667	0.43529	0.68182	0.50602	0.68182	0.56	0.21212	0.21622	0.19697	0.46739	0.22727	0.37363	1.0	0.60494	0.56	0.17808	0.68605	0.18182	0.56061	0.51429	0.25758	
D01294	0.51852	0.59259	0.46914	0.45679	0.40741	0.28395	0.40741	0.41975	0.64198	0.57471	0.45679	0.49383	0.51852	0.33758	0.45556	0.17284	0.46429	0.45679	0.25926	0.45679	0.28395	0.58333	0.50617	0.17284	0.41975	0.23457	0.16049	0.39506	0.18519	0.2716	0.17284	0.42574	0.1358	0.16049	0.41176	0.46914	0.45783	0.46914	0.4321	0.17284	0.22222	0.18519	0.52174	0.20988	0.42857	0.60494	1.0	0.47	0.19753	0.5	0.18519	0.45679	0.39506	0.24691	
D01387	0.56	0.58	0.37	0.5	0.53	0.29	0.39	0.45	0.53	0.54	0.5	0.5	0.49	0.36306	0.47	0.19	0.51	0.38	0.31	0.67	0.29	0.44	0.5	0.16	0.41	0.27	0.19	0.46	0.24	0.26	0.17	0.37624	0.13	0.18	0.48	0.51	0.38	0.51	0.45	0.25	0.26	0.24	0.45	0.24	0.42	0.56	0.47	1.0	0.21	0.61	0.17	0.49	0.41	0.21	
D01441	0.12821	0.19178	0.20548	0.13699	0.09459	0.20548	0.19178	0.14103	0.19178	0.1954	0.15068	0.175	0.13699	0.21656	0.18889	0.30137	0.16667	0.13699	0.32877	0.17808	0.20548	0.21429	0.16438	0.28767	0.20548	0.41096	0.34247	0.21333	0.30137	0.41096	0.34247	0.22772	0.26027	0.32877	0.15294	0.15068	0.20482	0.15068	0.13333	0.42466	0.33784	0.28767	0.22826	0.32877	0.17582	0.17808	0.19753	0.21	1.0	0.26744	0.31507	0.12329	0.20548	0.12329	
D01689	0.5	0.72093	0.44186	0.56977	0.63953	0.30233	0.44186	0.4186	0.62791	0.47126	0.59302	0.40698	0.45349	0.36943	0.68889	0.22093	0.39535	0.40698	0.34884	0.69767	0.30233	0.44186	0.5814	0.19767	0.48837	0.23256	0.19767	0.59302	0.22093	0.23256	0.15116	0.62376	0.13953	0.19767	0.4186	0.60465	0.48837	0.60465	0.55814	0.23256	0.24419	0.23256	0.44565	0.23256	0.31868	0.68605	0.5	0.61	0.26744	1.0	0.18605	0.51163	0.45349	0.24419	
